,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Acquired Immunodeficiency Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5188736439991666,3.5885824961806085e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2804227372246085e-200,0.0,0.0,2.958157916587374e-22,0.0,0.0,0.0,0.3218662678379908,0.0,0.0,5.232491864626383e-45,1.4878800816191256e-33,4.448225626609535e-52,0.0,5.4976907075189794e-101,0.0,0.0,1.566270381249985e-217,9.248287195215621e-110,0.0,0.0,0.0,0.0,0.04799290534843403,0.0,0.0,0.0,0.0,0.0,0.0,1.9358844089728262e-05,2.5551852392904606e-34,0.004822732525615519,0.0,7.324876189335496e-26,0.0,1.9567511297699844e-170,0.0,-0.39481794834136963,-0.07632669806480408,-0.24464809894561768,0.23809877038002014,0.006729878485202789,-0.5154135227203369,0.16495221853256226,-0.8897155523300171,-0.0300506092607975,0.15365269780158997,-0.026289846748113632,0.3510487973690033,-0.4182093143463135,-0.04064595699310303,0.34293922781944275,-0.21533632278442383,0.18041273951530457,-0.027027897536754608,0.16445010900497437,0.08232928067445755,0.45909905433654785,0.05320039391517639,-0.2753729224205017,0.2114432454109192,-0.19536790251731873,-0.3091258108615875,0.07764943689107895,0.4946534335613251,-0.13423806428909302,0.5412263870239258,-0.24038483202457428,-0.26941317319869995,-0.18709075450897217,0.09558289498090744,0.3312150835990906,-0.3702959716320038,-0.13642793893814087,-0.27240556478500366,0.10111763328313828,0.4540954530239105,-0.09642283618450165,0.36526525020599365,-0.5545620918273926,-0.2006233036518097,0.07586133480072021,0.09668611735105515,0.08414630591869354,0.09917784482240677,-0.21039734780788422,-0.2652071714401245,0.10371387004852295,-0.22390931844711304,0.046158552169799805,-0.2285861372947693,0.08360311388969421,-0.16029788553714752,0.05744905769824982,0.1704995036125183,-0.16047510504722595,0.09261937439441681,0.027951225638389587,-0.17630863189697266,-0.11326663196086884,-0.1394897848367691
Neoplasms,0.49567322934377994,0.05630704481167558,0.0002733055675384885,0.0008050671331125374,0.005969457660401815,0.0,0.0017071440490422523,0.031171701712002602,2.2100751901733085e-23,0.0,0.0,0.04467025519141164,0.0,0.002720097801872257,0.1018389180666176,0.0,0.030662311186774815,0.24154567866517548,0.44862142746185607,0.03735007882682893,5.238127761670653e-06,0.0001635687549943473,0.10044424008797534,0.0,0.00023123099250346472,0.08755233811851003,0.06576185776670836,2.1405442564272938e-05,0.04648206378037061,1.5631570749132355,0.09150254078204675,0.05898201324480958,0.0032160789969680648,9.324958493793391e-06,0.3948368724438209,0.0,0.0013635264638668836,0.07486090005925021,1.2510092484923916,0.0,0.2947390459050357,0.007384275027706562,0.0,0.0761679605642862,0.10902117897045702,0.0002774378034989959,0.04958095513710133,9.033724853488347e-06,0.001345051856756062,0.3545985219132231,0.0008043014513946563,0.0,0.0,0.007179446506663587,0.0017860524987448534,0.07118712465223843,0.1142120383587199,0.0027113680804552497,0.4066003689388286,0.025506919811745094,0.25782293394498657,0.20950304497789485,0.011279845849800189,0.103326042916927,0.30931350588798523,-0.018628686666488647,0.05359014868736267,0.26592886447906494,-0.5598565936088562,-0.20669955015182495,1.0340025424957275,-0.39618831872940063,0.4161606431007385,0.047396063804626465,0.3895060420036316,1.0214953422546387,-0.516691267490387,0.18327869474887848,0.49920541048049927,0.4398774802684784,0.7000940442085266,1.3360681533813477,0.24525141716003418,-0.7329447269439697,-0.3453984260559082,0.5561099052429199,-1.0087169408798218,1.2538853883743286,1.3807592391967773,-0.3214627206325531,-0.5331681966781616,0.7170886993408203,0.062409937381744385,-0.22614382207393646,-1.0610172748565674,-0.08073961734771729,-0.7843553423881531,0.2614169716835022,0.07845807075500488,0.6985973119735718,-0.10932612419128418,0.15365204215049744,0.5328282117843628,-1.2615025043487549,-0.25458014011383057,-0.2540823221206665,-0.9195447564125061,-0.13550254702568054,-0.25504225492477417,1.517375111579895,0.5110825300216675,-0.39338478446006775,0.4326043725013733,0.660037100315094,-0.8066891431808472,-0.37624794244766235,0.3352320194244385,0.25166529417037964,-0.054277241230010986,0.6568666696548462,-0.004127614200115204,-0.1397457718849182,-0.5646579265594482,-0.9729112982749939,0.3650059998035431,0.14999759197235107,0.6178525686264038,0.217360258102417
Cardiomegaly,9.800108486486563e-40,6.518020296329666e-230,2.549310050396445e-227,1.083770410330501e-213,3.978081678168187e-225,0.0,0.0,0.0,0.0,0.022248837369107828,0.0,7.23660696861837e-192,0.0,0.003518608955830857,0.05435971726867712,0.0,1.098807026056122e-76,0.0,5.929498961543213e-149,1.161832489124045e-71,0.0,3.406932748594734e-149,1.9617699290133433e-305,0.0,3.153420403654821e-57,4.8714843875360204e-139,1.0886231958262121e-23,2.6548425269761385e-50,0.0,5.434198781018116e-09,3.2214375534852735e-36,9.750737377415743e-38,5.13163955189043e-289,0.0,1.7487463544313706e-100,0.0,1.33734624527067e-17,2.2732287237372414e-08,2.5511980454850678e-52,0.0,1.4099521796999425e-28,0.0,0.0,0.1725080288640646,1.4056032650209317e-54,5.015680653632062e-142,1.3864436647403266e-213,0.0,7.709508367562076e-09,0.6950956660679397,4.4920710487651914e-98,0.0,0.0,1.2556453061158606e-46,9.670561830721422e-63,0.0,0.027788176755360137,2.3620110107626295e-33,0.23078012341933032,0.011520758862476966,1.578745645504575e-07,5.253526987048736e-05,1.7656314421924423e-06,4.228471679621115e-42,-0.4175655245780945,-0.011351553723216057,0.04612695425748825,-0.20880626142024994,0.10792399942874908,-0.3543144464492798,0.2666941285133362,0.13863706588745117,0.2040586769580841,-0.25654032826423645,-0.07260452210903168,0.3487666845321655,0.26539668440818787,0.12872828543186188,-0.1304335743188858,-0.5353280305862427,0.2761783301830292,0.16407132148742676,-0.2712591588497162,-0.12270106375217438,-0.01396438479423523,0.06661982834339142,-0.4513489007949829,-0.21734724938869476,0.41959646344184875,-0.1675080507993698,0.3343769311904907,0.6120558977127075,-0.06197744607925415,-0.3159305155277252,-0.11450694501399994,0.05402396619319916,-0.08009633421897888,-0.11081558465957642,-0.10148235410451889,-0.03967278450727463,-0.34741082787513733,0.0771026611328125,-0.28446075320243835,0.12273955345153809,-0.397042453289032,-0.021692389622330666,-0.2942868769168854,0.10638496279716492,-0.180785670876503,-0.16717100143432617,0.196360781788826,-0.15391580760478973,0.20385807752609253,-0.44183579087257385,0.08967956155538559,-0.6227990388870239,0.5416142344474792,-0.1168041005730629,-0.17478740215301514,-0.07242824882268906,0.25484156608581543,0.2856219410896301,-0.08145604282617569,0.11959538608789444,0.1098969355225563,0.1374441534280777,0.27021172642707825,-0.0022418927401304245
Stomach Neoplasms,0.47864116938267154,0.06674251623344568,0.050010966910142736,0.00048725864781217333,0.02556540457629067,0.0,0.03749043273028516,0.04834232257112093,0.00012335608899126873,0.03689307248347726,0.0,0.002593765752717611,0.0,0.10098959703639333,0.0633356800971382,0.0,0.0061338296531933565,0.06035815128690725,0.31490661019157523,0.03343220569910983,0.0009604912726384368,0.24749140359173508,0.2300300459332742,0.0,0.0038189899655881204,0.17017595636549576,0.20316800034486843,3.172179571506439e-06,0.05211016155261839,0.0016330766929586568,0.18341313797097922,0.11392359119990904,0.007904877070627987,0.0002477679702935586,0.0139354394471249,0.0,0.5851621424471113,1.2964547446257941,0.24909331768205015,0.0,0.03821876648283932,0.0375225835176618,0.0,0.04099506932535689,0.2344178189607502,0.36331653937683933,0.07857951508134593,0.0010278565983952244,0.013448440542647001,0.3855815265516572,0.20293838507118903,0.0,0.0,0.00632889770552361,0.4704390447965124,0.04411227016001471,0.1911084596134528,0.788823860886281,0.3038751959231899,0.034372655978638554,0.4890765940805228,0.10532017108741466,0.0,0.07719067526271298,0.8426852226257324,0.2580195963382721,-0.40896323323249817,-0.3090261220932007,-0.29442042112350464,-0.13152432441711426,0.3501647710800171,0.3884809613227844,0.839276909828186,-0.15806135535240173,-0.2895214557647705,-0.02275659143924713,0.20592328906059265,0.9192205667495728,0.015503644943237305,-0.21234092116355896,0.14679399132728577,0.9221498370170593,0.3474375009536743,-0.5536310076713562,0.6181819438934326,0.5160160064697266,-1.616917610168457,0.21232390403747559,0.8553359508514404,-0.4790823459625244,-0.265011727809906,1.2022407054901123,-0.7203118801116943,0.19229626655578613,-1.0496801137924194,0.5548034310340881,-0.9879013895988464,1.2402938604354858,-0.08736655116081238,-0.422097384929657,0.3905869126319885,-0.7606825828552246,1.2733925580978394,-0.28516554832458496,-0.021704435348510742,-0.592289924621582,-0.481952965259552,-0.48312506079673767,-1.0562243461608887,0.7516921758651733,0.6120936274528503,0.07852709293365479,1.041793704032898,1.4902127981185913,-0.6463286876678467,-1.5478947162628174,-1.0694130659103394,0.6047248840332031,-0.7819364070892334,-0.038031697273254395,-1.1039470434188843,0.5364420413970947,-0.36764147877693176,-0.19548046588897705,0.7682671546936035,0.4651268720626831,0.8686797618865967,-0.5757420063018799
Multiple Sclerosis,5.3004813070248536e-09,0.0,1.9664335277315297e-60,1.1687785229643205e-23,8.300176722190555e-226,0.0,4.404449842107042e-22,4.2427506613003934e-07,1.4260360871008463e-05,0.0,0.0,6.270524232118028e-61,0.0,0.0007663177526153781,0.00075211537708357,0.0,2.4813041659253147e-72,4.777677625686842e-08,1.5839030301219382e-207,8.103701394781109e-17,0.0,8.88879046561979e-39,1.1519256141410657e-112,0.0,5.331703163194685e-156,2.71248148155566e-18,1.1527496359881758e-30,0.0,3.640529071126403e-201,5.857735497892482e-17,4.747200947774157e-25,7.728524897551845e-68,1.593465749103458e-17,3.345447278287685e-11,1.2050915206831196e-33,0.0,1.8549612995580225e-07,1.2274795612535679e-11,1.1581649745532355e-25,0.0,5.345540711864588e-13,7.307963117857761e-199,0.0,0.2527192742712309,2.512231343867293e-07,5.7540560362424015e-12,0.015838921334022656,2.7736406348742396e-27,2.8878006679733622e-30,0.007015676979107663,9.921632100281396e-28,0.0,0.0,3.9874721993491826e-13,5.095749940321545e-240,9.56757659550373e-260,1.408889619902934,1.4890033217514145e-19,0.11361561844533526,1.1636980268177201e-07,3.067399110955621e-11,3.786559457277211e-39,3.0760911381083984e-15,6.664831247223641e-08,0.025869086384773254,0.01264907419681549,-0.06212374567985535,0.07042562961578369,0.26485806703567505,-0.2684101462364197,0.5184102058410645,-0.37927812337875366,-0.019265949726104736,0.012162409722805023,-0.15244042873382568,0.16271892189979553,-0.09488053619861603,-0.1337079405784607,-0.31083396077156067,0.13284854590892792,0.0857827216386795,0.3653554320335388,-0.13815884292125702,-0.01067495346069336,0.2743542492389679,0.5983982682228088,-0.051214780658483505,-0.43677854537963867,0.02236044779419899,-0.44602346420288086,0.46088066697120667,-0.11052169650793076,0.27031540870666504,0.6184204816818237,0.005791395902633667,0.2226048856973648,0.17391856014728546,0.21228273212909698,-0.27711260318756104,-0.09914232790470123,-0.19077955186367035,-0.021824173629283905,-0.13746047019958496,-0.0562920942902565,-0.2525034546852112,0.3614617586135864,-0.5298900008201599,-0.08550255000591278,0.029679514467716217,-0.2620440125465393,-0.051216643303632736,-0.263809472322464,0.16284842789173126,-0.026300013065338135,-0.20726166665554047,-0.8171144127845764,-0.38909485936164856,0.59853196144104,0.3361012935638428,0.05476987361907959,-0.05298933386802673,0.12652043998241425,-0.0018170513212680817,0.4352155327796936,-0.06451022624969482,0.05696800351142883,-0.11354523152112961,-0.19335591793060303
Glioma,1.2962519098315164,0.022953865561581074,0.20085802633306418,0.003332007499146311,0.039018933479170785,0.0,0.0011578013253052994,0.005273771927739031,0.00030359698667268897,0.03567268449086908,0.0,0.016791422740276174,0.0,0.001881692584338015,0.1554911910389694,0.0,0.01477817535814018,0.024770180104016996,0.05332275395829657,0.06444887365338076,0.0001760699139827617,0.009297856330163147,0.010111653040085995,0.0,0.015724874423140443,0.003392347115568748,0.0006199420769813222,0.0006533070612353805,0.05496590587993911,0.0001981829089638742,0.07835907564559691,0.2159077515848987,0.003319318061774018,4.133347739592928e-06,0.02080758218498171,0.0,0.0037968222648554297,0.011392857249112872,0.0005168146450860949,0.0,0.0276825199593421,0.12076122075852652,0.0,0.014802543268177565,0.328478746077201,0.01563953299744179,0.12998701792478337,1.264352058519595,0.335149148832003,0.1507776706143283,0.32962965261935695,0.0,0.0,0.0013044150705436648,0.2833568815164208,0.052382745290111624,0.039487407029069964,0.0003971954541970922,7.153076867473469e-07,0.09268289519319313,0.0,0.020589549884376664,0.1842093940695298,0.027129076676296417,0.7448433637619019,0.07421773672103882,-0.442094624042511,-0.2888590693473816,-1.1032514572143555,-0.2147119641304016,0.14316913485527039,-0.33244261145591736,-0.6027470231056213,0.5336244106292725,-0.053136080503463745,-0.006956636905670166,0.6215661764144897,0.44944149255752563,-0.25888416171073914,-0.4152698516845703,-0.32082509994506836,0.6454732418060303,-0.03512445092201233,-0.17918643355369568,0.08635230362415314,0.441118061542511,-0.0640154704451561,0.0605049729347229,1.237523078918457,0.24646639823913574,-0.38339415192604065,0.8380401134490967,-0.22458288073539734,0.47908729314804077,0.0242423415184021,1.0015208721160889,-0.7506670951843262,0.5928491950035095,0.42977598309516907,0.16974583268165588,0.9017335176467896,-0.055781543254852295,1.541760802268982,-1.3580704927444458,0.9060968160629272,0.7734562158584595,0.44125592708587646,-0.6503774523735046,-0.10443350672721863,0.21988701820373535,0.34028035402297974,0.21171873807907104,-0.20098018646240234,1.1653497219085693,-0.4311645030975342,-1.0451819896697998,-0.3814502954483032,0.4637608528137207,0.6813213229179382,0.7059043645858765,0.06481002271175385,0.5965323448181152,-0.319904088973999,-0.3252253532409668,-0.3196335434913635,0.08967244625091553,0.28064262866973877,-0.13831579685211182
"Cardiomyopathy, Dilated",1.2177414441871355e-10,0.0,0.0,1.152048648007982e-189,3.6504238042409527e-81,0.0,0.0,0.0,0.0,3.429713928982376e-189,0.0,0.0,0.0,0.0,0.12468767808743589,0.0,0.0,0.006079298497577918,5.854700386269969e-23,0.0,0.0,0.0,9.62081970230516e-161,0.0,0.0,1.9722957061001344e-08,0.0,0.0,0.0,2.3301409516959655e-41,1.4167425257818535e-64,0.0,0.0,0.0,9.14849391345805e-15,0.0,3.977164796254314e-160,0.0,2.2029983687189435e-17,0.0,1.918355545496545e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307523007574348e-52,5.919838858236375e-119,0.0,0.0,1.242727501568038e-193,2.364498726528923e-08,0.7903055280986959,9.269769833886288e-63,4.724860371e-314,0.0,0.0,6.085623965926632e-19,0.0,2.350097555726404e-09,1.0780030101323385e-06,-0.08210556954145432,0.10054893046617508,-0.1628861129283905,-0.04923458397388458,0.24729874730110168,-0.3729742765426636,-0.23148664832115173,0.1509903371334076,-0.0008381935185752809,-0.16445615887641907,0.01119399257004261,0.24927973747253418,-0.2667147219181061,-0.001032329979352653,-0.2528338134288788,-0.3206831216812134,0.1170767992734909,0.06986403465270996,0.7229824066162109,-0.11142843961715698,-0.0019804411567747593,0.11301843822002411,0.06029008701443672,0.010992089286446571,-0.05138614401221275,0.18166619539260864,-0.04844321310520172,-0.11799180507659912,-0.21355615556240082,-0.2664351463317871,0.22170448303222656,-0.1649906039237976,-0.06053357571363449,0.3151775002479553,0.02194485440850258,0.42385369539260864,0.104850634932518,-0.15125562250614166,0.03367723524570465,0.0697629302740097,0.2767711877822876,0.10816945135593414,-0.3085378408432007,-0.181939959526062,-0.20199108123779297,0.19013968110084534,0.021907281130552292,0.05013728141784668,0.7710864543914795,-0.24806997179985046,-0.22134101390838623,0.4261232018470764,0.16694682836532593,0.4467841386795044,0.3548896908760071,0.15078704059123993,0.05870164930820465,0.1804310530424118,0.1213274896144867,0.029275529086589813,-0.47765904664993286,0.10575217008590698,-0.13353101909160614,0.2261960804462433
Hepacivirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7889118888879023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08212387561798096,0.10051000118255615,-0.16287487745285034,-0.04926116019487381,0.2472267746925354,-0.3729037642478943,-0.23149174451828003,0.15097995102405548,-0.0008599773282185197,-0.1644279658794403,0.01117800734937191,0.24924203753471375,-0.26666927337646484,-0.0009954404085874557,-0.25280559062957764,-0.32069212198257446,0.11704137921333313,0.06988786160945892,0.7229583263397217,-0.11138181388378143,-0.0019576845224946737,0.11301600933074951,0.060276325792074203,0.010995782911777496,-0.05139710009098053,0.18163493275642395,-0.04839957505464554,-0.11802179366350174,-0.21354839205741882,-0.2664434015750885,0.22165456414222717,-0.16496673226356506,-0.060542233288288116,0.3151480555534363,0.021973999217152596,0.4238293766975403,0.10483820736408234,-0.15128576755523682,0.03367362543940544,0.06979486346244812,0.2767653465270996,0.10815826058387756,-0.30853813886642456,-0.18192458152770996,-0.20197972655296326,0.19010134041309357,0.021890506148338318,0.050085894763469696,0.7710258364677429,-0.24806858599185944,-0.22132782638072968,0.4261144995689392,0.16696307063102722,0.44679880142211914,0.35486704111099243,0.15077847242355347,0.05867905914783478,0.18045862019062042,0.12133575975894928,0.029285311698913574,-0.47763457894325256,0.10577347129583359,-0.1335451453924179,0.2261812388896942
Spinocerebellar Ataxias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975048245289736,0.16956648230552673,0.22458744049072266,-0.2990354299545288,-0.13341838121414185,0.27359843254089355,0.21716631948947906,0.35300764441490173,-0.05419078469276428,0.1690610647201538,-0.3041452169418335,0.22950169444084167,-0.2262524664402008,0.05044568330049515,0.24429619312286377,-0.07868167012929916,0.15241274237632751,0.12382569164037704,0.275984525680542,-0.23661968111991882,0.05922640115022659,0.19928061962127686,-0.36498093605041504,0.17667409777641296,0.08793026208877563,-0.12323836237192154,-0.03633331507444382,-0.2882472276687622,-0.22733625769615173,0.19322925806045532,0.04433412104845047,-0.32419246435165405,0.45909184217453003,-0.09445778280496597,0.11685594916343689,0.17201806604862213,0.08909858763217926,-0.3594636023044586,0.17108924686908722,0.0288083553314209,0.12701568007469177,0.04541061073541641,-0.03761131316423416,0.0942179337143898,-0.29155611991882324,0.36928296089172363,0.10106077790260315,0.13557055592536926,0.33859920501708984,0.18846914172172546,-0.3381320834159851,0.12984201312065125,0.09241747856140137,0.19572290778160095,-0.07121515274047852,0.007086034864187241,0.06725897639989853,-0.01443271990865469,0.44561994075775146,-0.19779369235038757,-0.05785296857357025,-0.337284117937088,0.0703151524066925,-0.09794607758522034,-0.42867422103881836
Alzheimer Disease,0.0039576667095236355,2.6579383307167453e-86,4.9002088893665e-62,2.3748796130033057e-05,0.00042044179466171856,0.0,1.2805996342219918e-203,1.3797440515733189e-15,4.838655265103806e-65,0.011196474244693635,0.0,0.0007457030977917336,0.0,2.8647064454963443e-30,0.026876779475786008,0.0,1.8699069602588674e-35,0.6070588247518797,4.886286123744526e-05,1.1468789949702531e-152,0.3939684052178308,0.00031376989334844165,0.00026458987927217517,0.0,5.027580503241111e-33,8.65081480971122e-07,3.2320418101378526e-05,3.740540581378362e-37,8.948769473086523e-10,2.1542970903267487e-09,0.2373810514983467,2.863734346464267e-73,5.8035077972738776e-08,0.0,0.022144257564905564,0.0,0.9419237823640632,3.31276446098927e-06,0.0954696735809717,0.0,0.0008253285138985631,7.68653808424967e-05,0.0,5.300991971290007e-150,1.4231912190529677e-06,0.0,2.5453351639280198e-138,1.9406604124867156e-06,0.0001809394853358224,0.0068002118133143824,6.11442925321824e-28,0.0,0.0,0.8866686631901044,0.6679043613630501,0.027456044462286344,0.00304896240994562,5.415768570055606e-47,2.9613403260148104e-11,2.845770388995233e-76,0.8981597767002596,2.3444901805468622e-24,0.1293958955057063,0.0010869684462711483,-0.12008693814277649,-0.32436853647232056,-0.14733047783374786,0.2517002820968628,-0.45184630155563354,-1.1779296398162842,0.3776029348373413,-0.4473031163215637,-0.12152838706970215,0.10869469493627548,0.15746790170669556,-0.04737754166126251,-0.12448939681053162,-0.2897004187107086,-0.1634259968996048,-0.4930364191532135,-0.1962684988975525,0.04119667410850525,-0.022693313658237457,0.004457443952560425,0.39284148812294006,0.06077996641397476,0.3240927457809448,0.01160767674446106,-0.05348721891641617,0.25794607400894165,-0.9505994319915771,0.289278507232666,-0.025482401251792908,-0.06749368458986282,1.1037720441818237,-0.32043057680130005,-0.05487211048603058,0.16609427332878113,-0.059526227414608,0.4902300238609314,-0.6652188897132874,0.9015779495239258,0.9524916410446167,-0.48330166935920715,-0.388047456741333,-0.5474631190299988,0.8919932246208191,-0.3898305892944336,0.05261247232556343,0.8712348937988281,-0.23760545253753662,-0.15427690744400024,0.0853065550327301,0.19654452800750732,-0.5429738759994507,-0.19792594015598297,0.21689647436141968,0.5956656336784363,-0.21395407617092133,0.08857381343841553,-0.43133974075317383,0.07791036367416382,-0.3182220458984375,-0.2168937623500824,0.017649099230766296,0.21654309332370758,0.018084075301885605,-0.04287046194076538
