,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis ,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors ,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute ","Lymphoma, B-Cell ",Rhabdomyosarcoma,"Anemia, Aplastic ",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
7SK,0.55704975,0.94044447,0.07219023,0.90581584,0.5577244,0.4125306,0.061648227,0.064410776,0.06810196,0.34647566,0.059888933,0.6845856,0.114983015,0.8131132,0.46904278,0.2911956,0.05264728,0.16996937,0.05468695,0.4930984,0.532885,0.13537377,0.94217616,0.07050853,0.08610506,0.0640596,0.0573579,0.057357896,0.05414063,0.19898222,0.053774133,0.6020689,0.08630583,0.11523496,0.95247436,0.19115083,0.093768105,0.07660834,0.061090607,0.08777009,0.053459007,0.30216926,0.05504875,0.050582163,0.051181357,0.05100508,0.051155727,0.05130974,0.05118064,0.05142177,0.050910596,0.050978195,0.054791182,0.05094912,0.05657365,0.051101327,0.05110433,0.05812708,0.05158438,0.083986156,0.050983742,0.050978724,0.051011298,0.052825104,0.56152976,0.05677015,0.059872318,0.053400185,0.057070155,0.050989512,0.051113453,0.051113453,0.090709634,0.09605132,0.05144174,0.054459732,0.05445932,0.05107253,0.553998,0.050972037,0.07997368,0.10245642,0.0594612,0.055289537,0.060303155,0.05546234,0.05081551,0.050892282,0.050786607,0.050805096,0.050820623,0.05078411,0.050785616,0.07564496,0.050827447,0.050843444,0.05577382,0.050821178,0.052234996,0.05077049,0.12598906,0.05081906,0.050799385,0.060071975,0.050776657,0.05402591,0.05081369,0.050784566,0.056213144,0.05190543,0.05081908,0.05082059,0.050842993,0.052414667,0.5512541,0.053125408,0.05204878,0.05213988,0.052282967,0.051951382,0.05432718,0.050896354,0.05783463,0.050983902,0.053056356,0.05101063,0.051313266,0.051082056,0.051388685,0.051419742,0.05091923,0.054673642,0.06025818,0.054928344,0.05391254,0.05418953,0.064456955,0.064456955,0.052341484,0.07112655,0.054386828,0.054321878,0.05433318,0.054360915,0.054434553,0.054234646,0.05435506,0.054400537,0.06509547,0.052647255,0.055801295,0.0858976,0.085949115,0.063008115,0.06300286,0.060713146,0.06129278
ADAMTS9-AS2,0.5498622,0.8550489,0.05144621,0.83488095,0.06155666,0.725329,0.5478804,0.54794866,0.4892227,0.44676065,0.052872043,0.49341035,0.5168803,0.70971406,0.38628995,0.19251974,0.05126858,0.19148955,0.05180746,0.43014264,0.6181136,0.09317925,0.8460832,0.06345597,0.06844939,0.057108,0.053382862,0.053382862,0.051632337,0.13068634,0.051450677,0.57823896,0.056129612,0.08239773,0.9223318,0.6185066,0.07344386,0.069229595,0.05551864,0.06932902,0.051092435,0.0998448,0.051237255,0.049323544,0.04982654,0.04968984,0.04982976,0.049996737,0.04982273,0.05006255,0.04951227,0.04965778,0.051860474,0.04952122,0.051684815,0.04977496,0.04977977,0.05471128,0.05157622,0.067384794,0.04969995,0.049665835,0.049725458,0.050710835,0.55568635,0.053025894,0.072486885,0.05106231,0.17755777,0.049588777,0.049841803,0.049841806,0.0728196,0.06757619,0.0581635,0.051720243,0.05172054,0.04982742,0.40576982,0.049513694,0.0711088,0.07546271,0.058525886,0.05217952,0.05494116,0.05492807,0.04949095,0.049534433,0.049473558,0.049484607,0.049493007,0.04947168,0.049472935,0.063291274,0.049497306,0.04950842,0.052458826,0.04949428,0.050300166,0.049462713,0.089090526,0.049477167,0.049480587,0.054869547,0.049466345,0.051440068,0.049470875,0.049472354,0.051054806,0.050182313,0.049493004,0.04949401,0.049508426,0.050475292,0.06223128,0.050874084,0.0502399,0.050295137,0.050380792,0.050181676,0.05091313,0.049706727,0.053619526,0.049768273,0.05091623,0.049786866,0.049973518,0.049838055,0.050013408,0.052098285,0.049691036,0.05179928,0.054974664,0.05194709,0.051353853,0.0515169,0.050800398,0.050800398,0.05410022,0.51926047,0.051344696,0.05134334,0.051343646,0.051358506,0.0513451,0.05129636,0.051360697,0.051359046,0.052889574,0.049906332,0.049515493,0.05209068,0.052092172,0.054527376,0.054525793,0.05164273,0.051743556
ATP6V1G2-DDX39B,0.551715,0.8595933,0.051531248,0.8266073,0.06392461,0.71623284,0.5490246,0.548999,0.49634972,0.35479823,0.054551437,0.37484992,0.5578364,0.70356524,0.38150293,0.18456627,0.058473982,0.14634363,0.05159511,0.43000886,0.74494314,0.090693936,0.8347573,0.07216587,0.06758194,0.056644507,0.053539548,0.053539548,0.051444113,0.12415957,0.05124066,0.5765033,0.05588645,0.08033966,0.91801226,0.614164,0.07134252,0.06280331,0.055116307,0.068131596,0.050915148,0.09676038,0.051076986,0.049300782,0.0501566,0.04992154,0.05011941,0.050366364,0.050111763,0.050514027,0.049489576,0.04984885,0.051645726,0.049604576,0.05621907,0.05000586,0.050015263,0.056994047,0.05443714,0.06632524,0.050028205,0.049840614,0.0500888,0.050560843,0.55522037,0.05275348,0.09414822,0.050882276,0.058909066,0.04949135,0.054469492,0.054469492,0.069385216,0.06960008,0.056158375,0.05173911,0.051740646,0.05032178,0.48804015,0.049449854,0.09356537,0.07681342,0.09111901,0.051958583,0.05457108,0.06328664,0.04939193,0.04944142,0.049374897,0.049385697,0.049395025,0.049373318,0.049374226,0.06257492,0.0493992,0.04940831,0.05222053,0.04939538,0.050193854,0.049365427,0.087035395,0.049390975,0.04938246,0.05450116,0.049369436,0.051306646,0.049389735,0.049373947,0.057996597,0.05023634,0.049394406,0.049394917,0.049407978,0.050336044,0.07781495,0.050761707,0.050120316,0.05017177,0.050261274,0.050063472,0.055811025,0.049947266,0.053314418,0.050023627,0.05080185,0.05002299,0.050241336,0.050091404,0.05027233,0.055734646,0.04983232,0.051587146,0.054600034,0.05172717,0.05116622,0.051319633,0.05315703,0.05315703,0.06196998,0.5399807,0.05116773,0.05116414,0.05116513,0.05117867,0.051170092,0.05111866,0.05118103,0.051181406,0.05838714,0.049944006,0.050305646,0.053454846,0.05345774,0.05660519,0.056603704,0.052907694,0.05301039
ATXN8OS,0.55062497,0.78653264,0.051336963,0.8307347,0.0735565,0.7206181,0.5487671,0.54877883,0.54903454,0.73510355,0.059504807,0.33706886,0.4974861,0.705372,0.38394225,0.18839031,0.05314313,0.23989972,0.05168753,0.4298778,0.6579573,0.091740906,0.8808223,0.16000839,0.06791296,0.056833148,0.054082807,0.054082807,0.051862758,0.13686526,0.051765963,0.57729757,0.055873156,0.08128546,0.92033225,0.6163858,0.07221649,0.12165213,0.05531945,0.0688422,0.050989952,0.09813376,0.051131614,0.04930907,0.05048798,0.0501112,0.050503563,0.050964005,0.050431296,0.051217034,0.04949437,0.04996661,0.051737998,0.04955972,0.061001163,0.05032581,0.050367568,0.05938127,0.056808744,0.06679547,0.05016506,0.050037846,0.05030016,0.05068746,0.5554651,0.052869283,0.21159856,0.050994784,0.20108402,0.0495311,0.051699705,0.051699705,0.08128224,0.08539866,0.12944259,0.051924624,0.051925644,0.050416768,0.37607822,0.049477663,0.12460306,0.07497765,0.07722382,0.052071117,0.054753732,0.064384304,0.049431987,0.049477577,0.04941481,0.049425747,0.049434267,0.04941312,0.049414214,0.062821135,0.049438465,0.0494488,0.052320205,0.049435195,0.05024174,0.049404584,0.0880897,0.049423732,0.04942204,0.054665226,0.049408223,0.051330283,0.049423464,0.049413618,0.05238308,0.05012248,0.049433924,0.04943491,0.049448725,0.05039047,0.0658364,0.050920423,0.050209474,0.050260644,0.050359666,0.05014914,0.052909307,0.049615506,0.053444866,0.04967197,0.050916623,0.04970447,0.049884394,0.049751647,0.04992283,0.051077213,0.049604323,0.051679827,0.054772835,0.051821116,0.05125743,0.051409256,0.05212875,0.05212875,0.05234742,0.5473713,0.0512351,0.051233675,0.051233985,0.051248517,0.051235463,0.05118799,0.05125053,0.05124899,0.052841444,0.049845647,0.05140372,0.053978775,0.053987585,0.056253426,0.05625174,0.05156094,0.051649675
BACE1-AS,0.06381675,0.46554825,0.058192916,0.95125246,0.06533619,0.9156097,0.05208996,0.052035548,0.052467532,0.9204365,0.053998,0.9158716,0.17599885,0.90740263,0.55829686,0.39394766,0.053343993,0.6611997,0.059784785,0.4718457,0.9493574,0.22598855,0.9751399,0.06379221,0.12911282,0.07782993,0.06378161,0.06378161,0.0583629,0.311762,0.057578407,0.6596997,0.07407215,0.1901127,0.9705149,0.740698,0.14317657,0.096450776,0.07204047,0.12976868,0.057477757,0.24903509,0.0577482,0.052381832,0.05310367,0.052940536,0.053145982,0.053078484,0.053165536,0.053165786,0.05288185,0.052945882,0.060101025,0.0528579,0.053109024,0.053108122,0.05310241,0.06409894,0.053110797,0.122003004,0.0528936,0.052964605,0.052888803,0.056330636,0.5637701,0.06359618,0.053685073,0.05743353,0.06327467,0.05310594,0.050590936,0.050590936,0.11851486,0.088386446,0.05309044,0.0582466,0.058247086,0.05300715,0.11739309,0.052885346,0.05415168,0.15263727,0.05643588,0.060966052,0.07029641,0.05644832,0.05284932,0.05296242,0.05280235,0.05283224,0.05285576,0.052797735,0.052800737,0.10184459,0.052867226,0.052896425,0.061677743,0.05285859,0.055093672,0.052773617,0.20426342,0.052804213,0.052821763,0.06998934,0.052783344,0.058498982,0.05278488,0.052798994,0.05515345,0.054663107,0.05285509,0.052857906,0.05289673,0.05562482,0.060786493,0.056664005,0.054908045,0.05506693,0.055300586,0.054747675,0.051930927,0.0530034,0.0656194,0.05315104,0.05669434,0.053194895,0.053710945,0.053313006,0.053841423,0.053497933,0.05304663,0.05975885,0.070427865,0.06023557,0.05833562,0.05885362,0.053890448,0.053890448,0.05352779,0.053889066,0.058074057,0.058071025,0.058071602,0.05811567,0.058073893,0.0579335,0.058121633,0.05811606,0.05584715,0.05386422,0.050475262,0.056669593,0.056669593,0.06211284,0.06210985,0.0576321,0.05788793
BANCR,0.15188023,0.57768464,0.11545194,0.9776602,0.1689529,0.9726167,0.074698575,0.07435675,0.07760195,0.47202137,0.0871983,0.9704454,0.87331975,0.9708477,0.9796446,0.969287,0.58273566,0.9505522,0.13313624,0.9820093,0.9784665,0.9391638,0.9829612,0.15871629,0.87521815,0.24204035,0.15850775,0.15850775,0.119045265,0.45431048,0.11327046,0.39965737,0.2243935,0.43638855,0.98182213,0.95460236,0.86657023,0.82307625,0.7091314,0.8844191,0.11889446,0.74042535,0.11247348,0.07630905,0.081355676,0.08020931,0.081651755,0.0811751,0.08178526,0.08176637,0.07966194,0.08022297,0.13746907,0.07954306,0.08135471,0.08137899,0.081342615,0.15964018,0.08134478,0.8724877,0.07987487,0.08036442,0.079851896,0.105476245,0.22615893,0.15854341,0.08432755,0.11442764,0.15110227,0.081016205,0.06552207,0.06552207,0.3470073,0.27269563,0.08079996,0.118285194,0.11828863,0.0806811,0.120603845,0.0795476,0.08926996,0.4045998,0.10653829,0.14543414,0.21268523,0.106303945,0.0793154,0.080084786,0.07900592,0.079211,0.079387024,0.078979306,0.07899501,0.82751584,0.07946322,0.07964354,0.4788589,0.07939269,0.09557617,0.07881991,0.92360324,0.0790131,0.07914195,0.20637071,0.07888719,0.62083256,0.078899026,0.07898305,0.09621023,0.09269117,0.07937038,0.079387896,0.07964929,0.46598017,0.13645811,0.11301122,0.09677572,0.097819366,0.1003342,0.09558278,0.075411096,0.08117166,0.17394963,0.082239464,0.10875023,0.08253458,0.0863031,0.08336122,0.08725691,0.084592514,0.08140191,0.13271531,0.20685592,0.13668956,0.12137694,0.1255276,0.092736505,0.092736505,0.08407834,0.087524064,0.114656314,0.11463458,0.114638545,0.11493468,0.114655204,0.11371301,0.114972584,0.11493733,0.10138591,0.08675881,0.06437262,0.10809907,0.10809988,0.14810017,0.1480784,0.114639685,0.11651822
BC040587,0.5521827,0.41081497,0.05210278,0.8294834,0.47927842,0.7178261,0.5195973,0.52591956,0.05488406,0.5275015,0.051887758,0.3599478,0.35389236,0.7068094,0.39123082,0.18545823,0.09780492,0.3863675,0.051494732,0.52192605,0.8443999,0.08974896,0.9437247,0.09310804,0.0670203,0.056433845,0.05310198,0.05310198,0.0519168,0.1320914,0.052090112,0.57618046,0.055509526,0.080118,0.92026055,0.61076456,0.070594475,0.388934,0.05491772,0.06777752,0.050824523,0.09689129,0.051053252,0.04916583,0.049443692,0.049378466,0.049457636,0.049455754,0.049461424,0.049488112,0.049340226,0.049374588,0.051554468,0.04933707,0.049920313,0.049439568,0.049438834,0.052936994,0.04965997,0.066048704,0.04936633,0.049382325,0.049370047,0.05045806,0.5550981,0.052631665,0.050450016,0.05079005,0.052785385,0.049418595,0.10681854,0.10681851,0.06750943,0.060175337,0.050401196,0.051814206,0.05181336,0.049407728,0.19315696,0.049344663,0.052121792,0.07321348,0.05148217,0.051817685,0.054416098,0.05082454,0.049327478,0.04936807,0.04931117,0.04932152,0.04932934,0.049309436,0.049310617,0.062148646,0.04933338,0.049343772,0.05209985,0.049330566,0.050077625,0.049301036,0.086254776,0.049314253,0.049317766,0.054350063,0.049304448,0.051144946,0.049307927,0.049310047,0.051358655,0.049937513,0.04932936,0.049330305,0.04934379,0.050249577,0.06105321,0.050776213,0.050076008,0.050125185,0.050224163,0.050017525,0.049676955,0.049387757,0.053180274,0.049438916,0.050582875,0.049455572,0.049629994,0.049496867,0.049672857,0.049867257,0.04940053,0.051486947,0.054446515,0.051624976,0.051069036,0.051222295,0.050397266,0.050397266,0.050757904,0.4809812,0.051090546,0.05108379,0.05108624,0.051097997,0.051098064,0.0510375,0.051101245,0.0511048,0.37313184,0.04970825,0.04871231,0.053704303,0.05371098,0.05349142,0.053490173,0.051235452,0.05132733
BCAR4,0.38298988,0.5623771,0.052725613,0.8810682,0.40412408,0.78192127,0.051869847,0.05161814,0.049826633,0.36800757,0.0505704,0.78159076,0.07553675,0.7698314,0.9077998,0.24398358,0.05265289,0.6143745,0.052825432,0.9476562,0.89285964,0.10989538,0.95797276,0.054733884,0.07506294,0.059630465,0.05446092,0.05446092,0.052401204,0.19923124,0.052112248,0.5886366,0.058292344,0.095456064,0.9434119,0.64558375,0.08051024,0.49844715,0.0575188,0.07629019,0.051912647,0.14866792,0.052139074,0.049717262,0.050038718,0.04996578,0.050057545,0.05002868,0.050066218,0.0500677,0.049943294,0.049968876,0.05292575,0.04993207,0.050049096,0.05004067,0.05003814,0.05458283,0.05004695,0.07376264,0.0499451,0.04997686,0.04994307,0.051424835,0.5573219,0.054363254,0.05022357,0.05187454,0.05433001,0.050047856,0.08827829,0.08827827,0.07406605,0.06375511,0.050048377,0.052293405,0.052293453,0.049995195,0.061727602,0.049948104,0.050644707,0.08360997,0.05151358,0.053271234,0.056830216,0.051481288,0.049930856,0.04998253,0.04990964,0.049923122,0.049933344,0.04990745,0.049908925,0.06778755,0.049938563,0.049952038,0.053626165,0.049934853,0.050913,0.04989647,0.10390843,0.04991102,0.04991826,0.056735843,0.049900867,0.052336212,0.04990225,0.049908135,0.05096405,0.050727013,0.049933244,0.049934547,0.04995212,0.05114537,0.054303247,0.051592626,0.05083201,0.05090061,0.051002603,0.050761696,0.049504653,0.049994916,0.055118557,0.050060876,0.051579483,0.050080184,0.050308514,0.05013308,0.050365753,0.050234336,0.050015464,0.052815247,0.056881648,0.053002343,0.05224813,0.052455675,0.050419025,0.050419025,0.050285395,0.05075844,0.052212205,0.052209396,0.052210383,0.052227765,0.05221432,0.052150752,0.052231304,0.052230377,0.061843004,0.05038354,0.048836958,0.05170847,0.051708594,0.053854715,0.053853482,0.052029815,0.052138455
BCYRN1,0.33661187,0.9760667,0.26511002,0.98331994,0.35633934,0.9817389,0.15152362,0.15105696,0.15370682,0.98115945,0.2007426,0.9810972,0.95761275,0.98102593,0.9838396,0.98065567,0.17638978,0.97586524,0.31353867,0.98491585,0.9836243,0.9729583,0.9853331,0.84420544,0.9574688,0.91164136,0.8441254,0.8441254,0.48233798,0.9762331,0.4685042,0.9622571,0.40162936,0.65944684,0.98488086,0.97666156,0.960299,0.9446986,0.89955246,0.9581577,0.2694506,0.9334966,0.25829098,0.15084863,0.37389663,0.29894614,0.29583663,0.3746171,0.3312961,0.4967757,0.16238977,0.21896857,0.61862755,0.16350536,0.21250893,0.27113974,0.27627948,0.7340865,0.6644398,0.7569669,0.26268458,0.2281861,0.28420997,0.5085094,0.90426874,0.7021912,0.6774569,0.69097877,0.34355322,0.16645913,0.12615937,0.12615937,0.4639837,0.42487535,0.1977476,0.27836394,0.27837428,0.40404862,0.46683452,0.16101609,0.23901926,0.9636315,0.6775562,0.82578194,0.39453867,0.73515654,0.16016367,0.16305122,0.15897247,0.15976107,0.16048615,0.15888785,0.15893026,0.44367155,0.16077465,0.16140482,0.32909697,0.160467,0.21904798,0.15828064,0.9686307,0.15898536,0.15952398,0.3916997,0.15854979,0.2877126,0.15849741,0.15888464,0.33268675,0.20910498,0.16038097,0.16044846,0.16143976,0.23083566,0.3178854,0.24766403,0.21211587,0.21574312,0.22075291,0.20861529,0.14355905,0.16876352,0.36343133,0.17294209,0.74631464,0.1744379,0.18881029,0.17765057,0.19221526,0.2351256,0.16966784,0.31360844,0.40349218,0.31843916,0.29728115,0.30062062,0.18760031,0.18760031,0.18799306,0.18912739,0.2632451,0.26321197,0.26322132,0.26387626,0.2632428,0.2611173,0.26399103,0.2638825,0.23557073,0.18585296,0.1014331,0.25228932,0.2522899,0.33388066,0.3338491,0.26676616,0.27112663
BDNF-AS,0.09295572,0.47922996,0.075652234,0.9720041,0.09890099,0.9614928,0.0622648,0.06237843,0.059768595,0.9609014,0.06446872,0.9586474,0.25936207,0.9583304,0.5458226,0.45466018,0.062128514,0.90959466,0.08115216,0.522054,0.97334266,0.38275695,0.98102164,0.09984801,0.26331973,0.13762915,0.093345895,0.093345895,0.57644266,0.9234931,0.57410574,0.81413853,0.12591892,0.35650378,0.97914034,0.9192025,0.29602498,0.6812097,0.12008126,0.27267665,0.07405973,0.39684638,0.07436898,0.059455767,0.06142512,0.060979415,0.061540898,0.061354738,0.061592914,0.06159089,0.0607892,0.06098818,0.08246055,0.06073198,0.06145516,0.06143664,0.061421964,0.093853414,0.06151344,0.2566756,0.06085071,0.06104314,0.060839865,0.070620544,0.623312,0.09273593,0.0625148,0.0739849,0.090981424,0.061359327,0.05720562,0.05720562,0.25377783,0.16533433,0.06139896,0.57294583,0.5729815,0.061161883,0.07715706,0.060771577,0.06439401,0.30717555,0.07091592,0.08522782,0.114853345,0.070901625,0.060677756,0.0609797,0.06055286,0.06063284,0.060698804,0.0605415,0.060548577,0.20637405,0.06072913,0.060804307,0.08671111,0.06070415,0.06692457,0.060477808,0.3591982,0.060556524,0.06060598,0.11366964,0.060504038,0.077024,0.060505323,0.06054394,0.0672477,0.06572345,0.06069494,0.06070229,0.060805537,0.06845741,0.0837562,0.07141635,0.0664402,0.06688956,0.06754572,0.065994,0.05838206,0.061167974,0.09946646,0.06156956,0.07170689,0.06169057,0.063111134,0.06201101,0.06347376,0.0625184,0.061277594,0.081061855,0.115096815,0.08256825,0.07664638,0.07824399,0.06357693,0.06357693,0.0625497,0.064088024,0.07530664,0.075298086,0.07529976,0.07542676,0.075306185,0.07490174,0.07544442,0.07542789,0.069304585,0.06347214,0.05461747,0.071639605,0.071639694,0.08814864,0.08813927,0.074263535,0.07501695
